campus_id,school_level,total_students,economic_disadvantage,homeless,foster_care,migrant,ell,academic_underperformance,incarceration_delinquency,teen_pregnancy,chronic_absenteeism,X..Attendance
Casey Elementary,elementary school,543,309,11,3,0,136,122,0,0,3.39,96.61
Casis Elementary,elementary school,644,50,6,0,0,18,56,0,0,2.2,97.8
Clayton Elementary,elementary school,647,100,1,0,0,57,49,0,0,1.63,98.37
Cook Elementary,elementary school,409,300,3,2,0,314,164,0,0,5.21,94.79
Covington Middle School,middle school,619,300,19,3,0,124,389,7,0,4.39,95.61
Cowan Elementary,elementary school,557,150,10,1,0,46,104,0,0,2.62,97.38
Crockett Early College High School,high school,1467,600,40,6,0,408,1143,43,2,10.95,89.05
Cunningham Elementary,elementary school,341,150,16,1,0,78,79,0,0,2.75,97.25
Davis Elementary,elementary school,661,200,8,0,0,109,135,0,0,3.36,96.64
Dawson Elementary,elementary school,188,150,17,1,0,57,94,0,0,8.23,91.77
Discipline Alternative Edu Pro (DAEP-EL),special,2,5,1,0,0,1,2,0,0,7.32,92.68
Dobie Middle School,middle school,522,456,28,3,1,359,405,7,0,8.75,91.25
Doss Elementary,elementary school,947,192,6,2,0,152,116,0,0,2.42,97.58
Eastside Early College High School,high school,640,555,23,1,0,233,623,38,0,19.67,80.33
Galindo Elementary,elementary school,416,367,18,2,0,259,174,1,0,4.77,95.23
Garza Independence High School,special,143,35,10,0,0,21,256,10,7,30.7,69.3
General Marshall Middle School,middle school,418,256,13,1,0,148,258,4,0,5.41,94.59
Gorzycki Middle School,middle school,1289,111,0,1,0,100,260,0,0,1.44,98.56
Govalle Elementary,elementary school,378,321,10,3,0,122,158,0,0,5.95,94.05
